09642d42-80e7-4112-8d05-42,DOUBLE VERIFY,0
19b7b89d-8630-4688-88c7-16,TESTWELL,0
7e226e98-861a-4c91-98a2-65,UNIVERSITY OF CENTRAL OKLAHOMA,1
3263c087-1130-4adb-bb4b-11,SPEAKABOOS,0
7f41199e-32b9-4872-aa60-58,SWEET FLOWER BOUQUET LLC,4
d90d46b5-245c-4924-a456-64,DIETBET.COM,2
392ffc34-b25f-4ba8-b1bc-32,FITOCRACY,4
701b5417-874f-4341-9766-23,RECLIP.IT,1
8ce19c6f-a9d5-466d-8ceb-50,NATIONAL WINDOWS INC.,1
7b755eba-8e37-4efa-b3a3-85,UNKASOFT,2
5cfc833b-f716-4323-b5d3-59,FLYBRIDGE CAPITAL PARTNERS,0
4de221c7-6db5-4ab6-9bc2-25,NEW PACIFIC MARINA,3
ce04b756-eac1-4139-affe-81,BIRCHBOX,2
a8dad4f1-be26-4428-a718-75,VENROCK,2
35a4e243-df6d-409c-a59d-76,S. M. & B CONSTRUCTION CO.,2
da51918d-1db2-45e1-8c69-87,MUSICHYPE,3
